Distance (µm),Mn Ox%,
0,0.061798,
0.887227942343051,0.059556,
1.7744558846861,0.070172,
2.66168382702915,0.077985,
3.5489117693722,0.041089,
4.43613971171525,0.048336,
5.3233676540583,0.049464,
6.21059559640135,0.04517,
7.09782353874439,0.086234,
7.98505148108745,0.067683,
8.8722794234305,0.046283,
9.75950736577355,0.038012,
10.6467353081166,0.025562,
11.5339632504596,0.104577,
12.4211911928027,0.03736,
13.3084191351457,0.02756,
14.1956470774888,0.094386,
15.0828750198319,0.038861,
15.9701029621749,0.068405,
16.8573309045179,0.031227,
17.744558846861,0.089032,
18.631786789204,0.096019,
19.5190147315471,0.041005,
20.4062426738902,0.076689,
21.2934706162332,0.034321,
22.1806985585762,0.054538,
23.0679265009193,0.084838,
23.9551544432623,0.07443,
24.8423823856054,0.052367,
25.7296103279484,0.066869,
26.6168382702915,0.050799,
27.5040662126345,0.082545,
28.3912941549776,0.052597,
29.2785220973207,0.080756,
30.1657500396637,0.098977,
31.0529779820067,0.063145,
31.9402059243498,0.061724,
32.8274338666928,0.091553,
33.7146618090359,0.086977,
34.6018897513789,0.101943,
35.489117693722,0.052766,
36.376345636065,0.073888,
37.2635735784081,0.085679,
38.1508015207512,0.085821,
39.0380294630942,0.061903,
39.9252574054373,0.038958,
40.8124853477803,0.069703,
41.6997132901233,0.089543,
42.5869412324664,0.07318,
43.4741691748094,0.081545,
44.3613971171525,0.074145,
45.2486250594955,0.064916,
46.1358530018386,0.059544,
47.0230809441816,0.070375,
47.9103088865247,0.048544,
48.7975368288677,0.052385,
49.6847647712108,0.062345,
50.5719927135538,0.052654,
51.4592206558969,0.050815,
52.3464485982399,0.08552,
53.233676540583,0.049665,
54.120904482926,0.066037,
55.0081324252691,0.056289,
55.8953603676121,0.049023,
56.7825883099552,0.054825,
57.6698162522982,0.079552,
58.5570441946413,0.073366,
59.4442721369843,0.049267,
60.3315000793274,0.064236,
61.2187280216704,0.075452,
62.1059559640135,0.09569,
62.9931839063565,0.081878,
63.8804118486996,0.044714,
64.7676397910426,0.086552,
65.6548677333857,0.078236,
66.5420956757287,0.024012,
67.4293236180718,0.046185,
68.3165515604148,0.044589,
69.2037795027579,0.048887,
70.0910074451009,0.038947,
70.978235387444,0.061179,
71.865463329787,0.060675,
72.7526912721301,0.06121,
73.6399192144731,0.047961,
74.5271471568162,0.055788,
75.4143750991592,0.048369,
76.3016030415023,0.03906,
77.1888309838453,0.058686,
78.0760589261884,0.03873,
78.9632868685315,0.065887,
79.8505148108745,0.071087,
80.7377427532175,0.063153,
81.6249706955606,0.06115,
82.5121986379037,0.057824,
83.3994265802467,0.063816,
84.2866545225897,0.066836,
85.1738824649328,0.053595,
86.0611104072758,0.048738,
86.9483383496189,0.052919,
87.8355662919619,0.070449,
88.722794234305,0.026035,
89.610022176648,0.070435,
90.4972501189911,0.06289,
91.3844780613341,0.046592,
92.2717060036772,0.048064,
93.1589339460202,0.077404,
94.0461618883633,0.066917,
94.9333898307063,0.080405,
95.8206177730494,0.052664,
96.7078457153924,0.07971,
97.5950736577355,0.079508,
98.4823016000785,0.052007,
99.3695295424216,0.091423,
100.256757484765,0.077261,
101.143985427108,0.067773,
102.031213369451,0.058046,
102.918441311794,0.078531,
103.805669254137,0.06053,
104.69289719648,0.077478,
105.580125138823,0.083168,
106.467353081166,0.059866,
107.354581023509,0.069602,
108.241808965852,0.065387,
109.129036908195,0.056017,
110.016264850538,0.052082,
110.903492792881,0.01782,
111.790720735224,0.040789,
112.677948677567,0.05487,
113.56517661991,0.024439,
114.452404562253,0.079056,
115.339632504596,0.053425,
116.22686044694,0.103941,
117.114088389283,0.049238,
118.001316331626,0.045126,
118.888544273969,0.037705,
119.775772216312,0.066726,
120.663000158655,0.057059,
121.550228100998,0.054377,
122.437456043341,0.083187,
123.324683985684,0.026562,
124.211911928027,0.038757,
125.09913987037,0.074943,
125.986367812713,0.050408,
126.873595755056,0.049193,
127.760823697399,0.083982,
128.648051639742,0.054347,
129.535279582085,0.067372,
130.422507524428,0.083615,
131.309735466771,0.059975,
132.196963409114,0.079024,
